#Version: 1.0
#Software: 4D/16.0.0
#Date: 2017-02-06 12:39:57
#Remark: format CLF
#Fields: C-IP RFC-931 USER DATE TIME HTTP-REQUEST SC-STATUS BYTES_SENT
192.168.1.26 - - [06/Feb/2017:06:36:26 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9545
192.168.1.26 - - [06/Feb/2017:06:36:26 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9041
192.168.1.26 - - [06/Feb/2017:06:36:26 +0900] "POST /4DSOAP/ HTTP/1.1" 200 10661
192.168.1.26 - - [06/Feb/2017:06:37:27 +0900] "POST /4DSOAP/ HTTP/1.1" 200 11165
192.168.1.26 - - [06/Feb/2017:06:37:28 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9969
192.168.1.26 - - [06/Feb/2017:06:37:28 +0900] "POST /4DSOAP/ HTTP/1.1" 200 10261
192.168.1.26 - - [06/Feb/2017:06:37:28 +0900] "POST /4DSOAP/ HTTP/1.1" 200 10653
192.168.1.26 - - [06/Feb/2017:06:37:28 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9869
192.168.1.26 - - [06/Feb/2017:06:37:28 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9869
192.168.1.26 - - [06/Feb/2017:06:37:28 +0900] "POST /4DSOAP/ HTTP/1.1" 200 12201
192.168.1.26 - - [06/Feb/2017:06:37:28 +0900] "POST /4DSOAP/ HTTP/1.1" 200 5936
192.168.1.26 - - [06/Feb/2017:06:37:28 +0900] "POST /4DSOAP/ HTTP/1.1" 200 5821
192.168.1.26 - - [06/Feb/2017:06:37:28 +0900] "POST /4DSOAP/ HTTP/1.1" 200 10329
192.168.1.26 - - [06/Feb/2017:06:37:28 +0900] "POST /4DSOAP/ HTTP/1.1" 200 7961
192.168.1.26 - - [06/Feb/2017:06:37:28 +0900] "POST /4DSOAP/ HTTP/1.1" 200 8785
192.168.1.26 - - [06/Feb/2017:06:37:29 +0900] "POST /4DSOAP/ HTTP/1.1" 200 8785
192.168.1.26 - - [06/Feb/2017:06:37:29 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9545
192.168.1.26 - - [06/Feb/2017:06:37:29 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9041
192.168.1.26 - - [06/Feb/2017:06:37:29 +0900] "POST /4DSOAP/ HTTP/1.1" 200 10661
192.168.1.26 - - [06/Feb/2017:08:03:36 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:08:06:03 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:08:07:22 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:08:07:22 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37422
192.168.1.26 - - [06/Feb/2017:08:10:09 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:08:10:13 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37422
192.168.1.26 - - [06/Feb/2017:08:10:34 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:08:10:35 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37422
192.168.1.26 - - [06/Feb/2017:08:11:19 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:08:11:20 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37422
192.168.1.26 - - [06/Feb/2017:08:16:22 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:08:20:41 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9325
